number,season,episode,airdate,title,tvmaze link
60,3,17,08 Mar 02,"Surveillance","https://www.tvmaze.com/episodes/7038/law-order-special-victims-unit-3x17-surveillance"
61,3,18,29 Mar 02,"Guilt","https://www.tvmaze.com/episodes/7039/law-order-special-victims-unit-3x18-guilt"
62,3,19,05 Apr 02,"Justice","https://www.tvmaze.com/episodes/7040/law-order-special-victims-unit-3x19-justice"
63,3,20,26 Apr 02,"Greed","https://www.tvmaze.com/episodes/7041/law-order-special-victims-unit-3x20-greed"
64,3,21,03 May 02,"Denial","https://www.tvmaze.com/episodes/7042/law-order-special-victims-unit-3x21-denial"
65,3,22,10 May 02,"Competence","https://www.tvmaze.com/episodes/7043/law-order-special-victims-unit-3x22-competence"
66,3,23,17 May 02,"Silence","https://www.tvmaze.com/episodes/7044/law-order-special-victims-unit-3x23-silence"
67,4,1,27 Sep 02,"Chameleon","https://www.tvmaze.com/episodes/7045/law-order-special-victims-unit-4x01-chameleon"
68,4,2,04 Oct 02,"Deception","https://www.tvmaze.com/episodes/7046/law-order-special-victims-unit-4x02-deception"
69,4,3,11 Oct 02,"Vulnerable","https://www.tvmaze.com/episodes/7047/law-order-special-victims-unit-4x03-vulnerable"
70,4,4,18 Oct 02,"Lust","https://www.tvmaze.com/episodes/7048/law-order-special-victims-unit-4x04-lust"
71,4,5,25 Oct 02,"Disappearing Acts","https://www.tvmaze.com/episodes/7049/law-order-special-victims-unit-4x05-disappearing-acts"
72,4,6,01 Nov 02,"Angels","https://www.tvmaze.com/episodes/7050/law-order-special-victims-unit-4x06-angels"
73,4,7,08 Nov 02,"Dolls","https://www.tvmaze.com/episodes/7051/law-order-special-victims-unit-4x07-dolls"
74,4,8,15 Nov 02,"Waste","https://www.tvmaze.com/episodes/7052/law-order-special-victims-unit-4x08-waste"
75,4,9,22 Nov 02,"Juvenile","https://www.tvmaze.com/episodes/7053/law-order-special-victims-unit-4x09-juvenile"
76,4,10,06 Dec 02,"Resilience","https://www.tvmaze.com/episodes/7054/law-order-special-victims-unit-4x10-resilience"
77,4,11,10 Jan 03,"Damaged","https://www.tvmaze.com/episodes/7055/law-order-special-victims-unit-4x11-damaged"
78,4,12,17 Jan 03,"Risk","https://www.tvmaze.com/episodes/7056/law-order-special-victims-unit-4x12-risk"
79,4,13,24 Jan 03,"Rotten","https://www.tvmaze.com/episodes/7057/law-order-special-victims-unit-4x13-rotten"
80,4,14,31 Jan 03,"Mercy","https://www.tvmaze.com/episodes/7058/law-order-special-victims-unit-4x14-mercy"
81,4,15,07 Feb 03,"Pandora","https://www.tvmaze.com/episodes/7059/law-order-special-victims-unit-4x15-pandora"
82,4,16,14 Feb 03,"Tortured","https://www.tvmaze.com/episodes/7060/law-order-special-victims-unit-4x16-tortured"
83,4,17,21 Feb 03,"Privilege","https://www.tvmaze.com/episodes/7061/law-order-special-victims-unit-4x17-privilege"
84,4,18,14 Mar 03,"Desperate","https://www.tvmaze.com/episodes/7062/law-order-special-victims-unit-4x18-desperate"
85,4,19,28 Mar 03,"Appearances","https://www.tvmaze.com/episodes/7063/law-order-special-victims-unit-4x19-appearances"
86,4,20,04 Apr 03,"Dominance","https://www.tvmaze.com/episodes/7064/law-order-special-victims-unit-4x20-dominance"
87,4,21,18 Apr 03,"Fallacy","https://www.tvmaze.com/episodes/7065/law-order-special-victims-unit-4x21-fallacy"
88,4,22,25 Apr 03,"Futility","https://www.tvmaze.com/episodes/7066/law-order-special-victims-unit-4x22-futility"
89,4,23,02 May 03,"Grief","https://www.tvmaze.com/episodes/7067/law-order-special-victims-unit-4x23-grief"
90,4,24,09 May 03,"Perfect","https://www.tvmaze.com/episodes/7068/law-order-special-victims-unit-4x24-perfect"
91,4,25,16 May 03,"Soulless","https://www.tvmaze.com/episodes/7069/law-order-special-victims-unit-4x25-soulless"
92,5,1,23 Sep 03,"Tragedy","https://www.tvmaze.com/episodes/7070/law-order-special-victims-unit-5x01-tragedy"
93,5,2,30 Sep 03,"Manic","https://www.tvmaze.com/episodes/7071/law-order-special-victims-unit-5x02-manic"
94,5,3,07 Oct 03,"Mother","https://www.tvmaze.com/episodes/7072/law-order-special-victims-unit-5x03-mother"
95,5,4,14 Oct 03,"Loss","https://www.tvmaze.com/episodes/7073/law-order-special-victims-unit-5x04-loss"
96,5,5,21 Oct 03,"Serendipity","https://www.tvmaze.com/episodes/7074/law-order-special-victims-unit-5x05-serendipity"
97,5,6,28 Oct 03,"Coerced","https://www.tvmaze.com/episodes/7075/law-order-special-victims-unit-5x06-coerced"
98,5,7,04 Nov 03,"Choice","https://www.tvmaze.com/episodes/7076/law-order-special-victims-unit-5x07-choice"
99,5,8,11 Nov 03,"Abomination","https://www.tvmaze.com/episodes/7077/law-order-special-victims-unit-5x08-abomination"
100,5,9,18 Nov 03,"Control","https://www.tvmaze.com/episodes/7078/law-order-special-victims-unit-5x09-control"
101,5,10,25 Nov 03,"Shaken","https://www.tvmaze.com/episodes/7079/law-order-special-victims-unit-5x10-shaken"
102,5,11,02 Dec 03,"Escape","https://www.tvmaze.com/episodes/7080/law-order-special-victims-unit-5x11-escape"
103,5,12,06 Jan 04,"Brotherhood","https://www.tvmaze.com/episodes/7081/law-order-special-victims-unit-5x12-brotherhood"
104,5,13,13 Jan 04,"Hate","https://www.tvmaze.com/episodes/7082/law-order-special-victims-unit-5x13-hate"
105,5,14,03 Feb 04,"Ritual","https://www.tvmaze.com/episodes/7083/law-order-special-victims-unit-5x14-ritual"
106,5,15,10 Feb 04,"Families","https://www.tvmaze.com/episodes/7084/law-order-special-victims-unit-5x15-families"
107,5,16,17 Feb 04,"Home","https://www.tvmaze.com/episodes/7085/law-order-special-victims-unit-5x16-home"
108,5,17,24 Feb 04,"Mean","https://www.tvmaze.com/episodes/7086/law-order-special-victims-unit-5x17-mean"
109,5,18,02 Mar 04,"Careless","https://www.tvmaze.com/episodes/7087/law-order-special-victims-unit-5x18-careless"
110,5,19,30 Mar 04,"Sick","https://www.tvmaze.com/episodes/7088/law-order-special-victims-unit-5x19-sick"
111,5,20,06 Apr 04,"Lowdown","https://www.tvmaze.com/episodes/7089/law-order-special-victims-unit-5x20-lowdown"
112,5,21,20 Apr 04,"Criminal","https://www.tvmaze.com/episodes/7090/law-order-special-victims-unit-5x21-criminal"
113,5,22,27 Apr 04,"Painless","https://www.tvmaze.com/episodes/7091/law-order-special-victims-unit-5x22-painless"
114,5,23,04 May 04,"Bound","https://www.tvmaze.com/episodes/7092/law-order-special-victims-unit-5x23-bound"
115,5,24,11 May 04,"Poison","https://www.tvmaze.com/episodes/7093/law-order-special-victims-unit-5x24-poison"
116,5,25,18 May 04,"Head","https://www.tvmaze.com/episodes/7094/law-order-special-victims-unit-5x25-head"
117,6,1,21 Sep 04,"Birthright","https://www.tvmaze.com/episodes/7095/law-order-special-victims-unit-6x01-birthright"
118,6,2,28 Sep 04,"Debt","https://www.tvmaze.com/episodes/7096/law-order-special-victims-unit-6x02-debt"
119,6,3,12 Oct 04,"Obscene","https://www.tvmaze.com/episodes/7097/law-order-special-victims-unit-6x03-obscene"
120,6,4,19 Oct 04,"Scavenger","https://www.tvmaze.com/episodes/7098/law-order-special-victims-unit-6x04-scavenger"
121,6,5,26 Oct 04,"Outcry","https://www.tvmaze.com/episodes/7099/law-order-special-victims-unit-6x05-outcry"
122,6,6,09 Nov 04,"Conscience","https://www.tvmaze.com/episodes/7100/law-order-special-victims-unit-6x06-conscience"
123,6,7,16 Nov 04,"Charisma","https://www.tvmaze.com/episodes/7101/law-order-special-victims-unit-6x07-charisma"
124,6,8,23 Nov 04,"Doubt","https://www.tvmaze.com/episodes/7102/law-order-special-victims-unit-6x08-doubt"
125,6,9,30 Nov 04,"Weak","https://www.tvmaze.com/episodes/7103/law-order-special-victims-unit-6x09-weak"
126,6,10,07 Dec 04,"Haunted","https://www.tvmaze.com/episodes/7104/law-order-special-victims-unit-6x10-haunted"
127,6,11,11 Jan 05,"Contagious","https://www.tvmaze.com/episodes/7105/law-order-special-victims-unit-6x11-contagious"
128,6,12,18 Jan 05,"Identity","https://www.tvmaze.com/episodes/7106/law-order-special-victims-unit-6x12-identity"
129,6,13,25 Jan 05,"Quarry","https://www.tvmaze.com/episodes/7107/law-order-special-victims-unit-6x13-quarry"
130,6,14,08 Feb 05,"Game","https://www.tvmaze.com/episodes/7108/law-order-special-victims-unit-6x14-game"
131,6,15,15 Feb 05,"Hooked","https://www.tvmaze.com/episodes/7109/law-order-special-victims-unit-6x15-hooked"
132,6,16,22 Feb 05,"Ghost","https://www.tvmaze.com/episodes/7110/law-order-special-victims-unit-6x16-ghost"
133,6,17,01 Mar 05,"Rage","https://www.tvmaze.com/episodes/7111/law-order-special-victims-unit-6x17-rage"
134,6,18,08 Mar 05,"Pure","https://www.tvmaze.com/episodes/7112/law-order-special-victims-unit-6x18-pure"
135,6,19,29 Mar 05,"Intoxicated","https://www.tvmaze.com/episodes/7113/law-order-special-victims-unit-6x19-intoxicated"
136,6,20,03 May 05,"Night","https://www.tvmaze.com/episodes/7114/law-order-special-victims-unit-6x20-night"
137,6,21,10 May 05,"Blood","https://www.tvmaze.com/episodes/7115/law-order-special-victims-unit-6x21-blood"
138,6,22,17 May 05,"Parts","https://www.tvmaze.com/episodes/7116/law-order-special-victims-unit-6x22-parts"
139,6,23,24 May 05,"Goliath","https://www.tvmaze.com/episodes/7117/law-order-special-victims-unit-6x23-goliath"
140,7,1,20 Sep 05,"Demons","https://www.tvmaze.com/episodes/7118/law-order-special-victims-unit-7x01-demons"
141,7,2,27 Sep 05,"Design","https://www.tvmaze.com/episodes/7119/law-order-special-victims-unit-7x02-design"
142,7,3,04 Oct 05,"911","https://www.tvmaze.com/episodes/7120/law-order-special-victims-unit-7x03-911"
143,7,4,11 Oct 05,"Ripped","https://www.tvmaze.com/episodes/7121/law-order-special-victims-unit-7x04-ripped"
144,7,5,18 Oct 05,"Strain","https://www.tvmaze.com/episodes/7122/law-order-special-victims-unit-7x05-strain"
145,7,6,01 Nov 05,"Raw","https://www.tvmaze.com/episodes/7123/law-order-special-victims-unit-7x06-raw"
146,7,7,08 Nov 05,"Name","https://www.tvmaze.com/episodes/7124/law-order-special-victims-unit-7x07-name"
147,7,8,15 Nov 05,"Starved","https://www.tvmaze.com/episodes/7125/law-order-special-victims-unit-7x08-starved"
148,7,9,22 Nov 05,"Rockabye","https://www.tvmaze.com/episodes/7126/law-order-special-victims-unit-7x09-rockabye"
149,7,10,29 Nov 05,"Storm","https://www.tvmaze.com/episodes/7127/law-order-special-victims-unit-7x10-storm"
150,7,11,06 Dec 05,"Alien","https://www.tvmaze.com/episodes/7128/law-order-special-victims-unit-7x11-alien"
151,7,12,03 Jan 06,"Infected","https://www.tvmaze.com/episodes/7129/law-order-special-victims-unit-7x12-infected"
152,7,13,10 Jan 06,"Blast","https://www.tvmaze.com/episodes/7130/law-order-special-victims-unit-7x13-blast"
153,7,14,17 Jan 06,"Taboo","https://www.tvmaze.com/episodes/7131/law-order-special-victims-unit-7x14-taboo"
154,7,15,07 Feb 06,"Manipulated","https://www.tvmaze.com/episodes/7132/law-order-special-victims-unit-7x15-manipulated"
155,7,16,28 Feb 06,"Gone","https://www.tvmaze.com/episodes/7133/law-order-special-victims-unit-7x16-gone"
156,7,17,21 Mar 06,"Class","https://www.tvmaze.com/episodes/7134/law-order-special-victims-unit-7x17-class"
157,7,18,28 Mar 06,"Venom","https://www.tvmaze.com/episodes/7135/law-order-special-victims-unit-7x18-venom"
158,7,19,04 Apr 06,"Fault","https://www.tvmaze.com/episodes/7136/law-order-special-victims-unit-7x19-fault"
159,7,20,02 May 06,"Fat","https://www.tvmaze.com/episodes/7137/law-order-special-victims-unit-7x20-fat"
160,7,21,09 May 06,"Web","https://www.tvmaze.com/episodes/7138/law-order-special-victims-unit-7x21-web"
161,7,22,16 May 06,"Influence","https://www.tvmaze.com/episodes/7139/law-order-special-victims-unit-7x22-influence"
162,8,1,19 Sep 06,"Informed","https://www.tvmaze.com/episodes/7140/law-order-special-victims-unit-8x01-informed"
163,8,2,26 Sep 06,"Clock","https://www.tvmaze.com/episodes/7141/law-order-special-victims-unit-8x02-clock"
164,8,3,03 Oct 06,"Recall","https://www.tvmaze.com/episodes/7142/law-order-special-victims-unit-8x03-recall"
165,8,4,10 Oct 06,"Uncle","https://www.tvmaze.com/episodes/7143/law-order-special-victims-unit-8x04-uncle"
166,8,5,17 Oct 06,"Confrontation","https://www.tvmaze.com/episodes/7144/law-order-special-victims-unit-8x05-confrontation"
167,8,6,31 Oct 06,"Infiltrated","https://www.tvmaze.com/episodes/7145/law-order-special-victims-unit-8x06-infiltrated"
168,8,7,14 Nov 06,"Underbelly","https://www.tvmaze.com/episodes/7146/law-order-special-victims-unit-8x07-underbelly"
169,8,8,21 Nov 06,"Cage","https://www.tvmaze.com/episodes/7147/law-order-special-victims-unit-8x08-cage"
170,8,9,28 Nov 06,"Choreographed","https://www.tvmaze.com/episodes/7148/law-order-special-victims-unit-8x09-choreographed"
171,8,10,02 Jan 07,"Scheherezade","https://www.tvmaze.com/episodes/7149/law-order-special-victims-unit-8x10-scheherezade"
172,8,11,09 Jan 07,"Burned","https://www.tvmaze.com/episodes/7150/law-order-special-victims-unit-8x11-burned"
173,8,12,16 Jan 07,"Outsider","https://www.tvmaze.com/episodes/7151/law-order-special-victims-unit-8x12-outsider"
174,8,13,06 Feb 07,"Loophole","https://www.tvmaze.com/episodes/7152/law-order-special-victims-unit-8x13-loophole"
175,8,14,13 Feb 07,"Dependent","https://www.tvmaze.com/episodes/7153/law-order-special-victims-unit-8x14-dependent"
176,8,15,20 Feb 07,"Haystack","https://www.tvmaze.com/episodes/7154/law-order-special-victims-unit-8x15-haystack"
177,8,16,27 Feb 07,"Philadelphia","https://www.tvmaze.com/episodes/7155/law-order-special-victims-unit-8x16-philadelphia"
178,8,17,27 Mar 07,"Sin","https://www.tvmaze.com/episodes/7156/law-order-special-victims-unit-8x17-sin"
179,8,18,03 Apr 07,"Responsible","https://www.tvmaze.com/episodes/7157/law-order-special-victims-unit-8x18-responsible"
180,8,19,01 May 07,"Florida","https://www.tvmaze.com/episodes/7158/law-order-special-victims-unit-8x19-florida"
181,8,20,08 May 07,"Annihilated","https://www.tvmaze.com/episodes/7159/law-order-special-victims-unit-8x20-annihilated"
182,8,21,15 May 07,"Pretend","https://www.tvmaze.com/episodes/7160/law-order-special-victims-unit-8x21-pretend"
183,8,22,22 May 07,"Screwed","https://www.tvmaze.com/episodes/7161/law-order-special-victims-unit-8x22-screwed"
184,9,1,25 Sep 07,"Alternate","https://www.tvmaze.com/episodes/7162/law-order-special-victims-unit-9x01-alternate"
185,9,2,02 Oct 07,"Avatar","https://www.tvmaze.com/episodes/7163/law-order-special-victims-unit-9x02-avatar"
186,9,3,09 Oct 07,"Impulsive","https://www.tvmaze.com/episodes/7164/law-order-special-victims-unit-9x03-impulsive"
187,9,4,16 Oct 07,"Savant","https://www.tvmaze.com/episodes/7165/law-order-special-victims-unit-9x04-savant"
188,9,5,23 Oct 07,"Harm","https://www.tvmaze.com/episodes/7166/law-order-special-victims-unit-9x05-harm"
189,9,6,06 Nov 07,"Svengali","https://www.tvmaze.com/episodes/7167/law-order-special-victims-unit-9x06-svengali"
190,9,7,13 Nov 07,"Blinded","https://www.tvmaze.com/episodes/7168/law-order-special-victims-unit-9x07-blinded"
191,9,8,20 Nov 07,"Fight","https://www.tvmaze.com/episodes/7169/law-order-special-victims-unit-9x08-fight"
192,9,9,27 Nov 07,"Paternity","https://www.tvmaze.com/episodes/7170/law-order-special-victims-unit-9x09-paternity"
193,9,10,04 Dec 07,"Snitch","https://www.tvmaze.com/episodes/7171/law-order-special-victims-unit-9x10-snitch"
194,9,11,01 Jan 08,"Streetwise","https://www.tvmaze.com/episodes/7172/law-order-special-victims-unit-9x11-streetwise"
195,9,12,08 Jan 08,"Signature","https://www.tvmaze.com/episodes/7173/law-order-special-victims-unit-9x12-signature"
196,9,13,15 Jan 08,"Unorthodox","https://www.tvmaze.com/episodes/7174/law-order-special-victims-unit-9x13-unorthodox"
197,9,14,22 Jan 08,"Inconceivable","https://www.tvmaze.com/episodes/7175/law-order-special-victims-unit-9x14-inconceivable"
198,9,15,15 Apr 08,"Undercover","https://www.tvmaze.com/episodes/7176/law-order-special-victims-unit-9x15-undercover"
199,9,16,22 Apr 08,"Closet","https://www.tvmaze.com/episodes/7177/law-order-special-victims-unit-9x16-closet"
200,9,17,29 Apr 08,"Authority","https://www.tvmaze.com/episodes/7178/law-order-special-victims-unit-9x17-authority"
201,9,18,06 May 08,"Trade","https://www.tvmaze.com/episodes/7179/law-order-special-victims-unit-9x18-trade"
202,9,19,13 May 08,"Cold","https://www.tvmaze.com/episodes/7180/law-order-special-victims-unit-9x19-cold"
203,10,1,23 Sep 08,"Trials","https://www.tvmaze.com/episodes/7181/law-order-special-victims-unit-10x01-trials"
204,10,2,30 Sep 08,"Confession","https://www.tvmaze.com/episodes/7182/law-order-special-victims-unit-10x02-confession"
205,10,3,14 Oct 08,"Swing","https://www.tvmaze.com/episodes/7183/law-order-special-victims-unit-10x03-swing"
206,10,4,21 Oct 08,"Lunacy","https://www.tvmaze.com/episodes/7184/law-order-special-victims-unit-10x04-lunacy"
207,10,5,28 Oct 08,"Retro","https://www.tvmaze.com/episodes/7185/law-order-special-victims-unit-10x05-retro"
208,10,6,11 Nov 08,"Babes","https://www.tvmaze.com/episodes/7186/law-order-special-victims-unit-10x06-babes"
209,10,7,18 Nov 08,"Wildlife","https://www.tvmaze.com/episodes/7187/law-order-special-victims-unit-10x07-wildlife"
210,10,8,25 Nov 08,"Persona","https://www.tvmaze.com/episodes/7188/law-order-special-victims-unit-10x08-persona"
211,10,9,02 Dec 08,"PTSD","https://www.tvmaze.com/episodes/7189/law-order-special-victims-unit-10x09-ptsd"
212,10,10,09 Dec 08,"Smut","https://www.tvmaze.com/episodes/7190/law-order-special-victims-unit-10x10-smut"
213,10,11,06 Jan 09,"Stranger","https://www.tvmaze.com/episodes/7191/law-order-special-victims-unit-10x11-stranger"
214,10,12,13 Jan 09,"Hothouse","https://www.tvmaze.com/episodes/7192/law-order-special-victims-unit-10x12-hothouse"
215,10,13,03 Feb 09,"Snatched","https://www.tvmaze.com/episodes/7193/law-order-special-victims-unit-10x13-snatched"
216,10,14,17 Feb 09,"Transitions","https://www.tvmaze.com/episodes/7194/law-order-special-victims-unit-10x14-transitions"
217,10,15,10 Mar 09,"Lead","https://www.tvmaze.com/episodes/7195/law-order-special-victims-unit-10x15-lead"
218,10,16,17 Mar 09,"Ballerina","https://www.tvmaze.com/episodes/7196/law-order-special-victims-unit-10x16-ballerina"
219,10,17,31 Mar 09,"Hell","https://www.tvmaze.com/episodes/7197/law-order-special-victims-unit-10x17-hell"
220,10,18,07 Apr 09,"Baggage","https://www.tvmaze.com/episodes/7198/law-order-special-victims-unit-10x18-baggage"
221,10,19,28 Apr 09,"Selfish","https://www.tvmaze.com/episodes/7199/law-order-special-victims-unit-10x19-selfish"
222,10,20,05 May 09,"Crush","https://www.tvmaze.com/episodes/7200/law-order-special-victims-unit-10x20-crush"
223,10,21,19 May 09,"Liberties","https://www.tvmaze.com/episodes/7201/law-order-special-victims-unit-10x21-liberties"
224,10,22,02 Jun 09,"Zebras","https://www.tvmaze.com/episodes/7202/law-order-special-victims-unit-10x22-zebras"
225,11,1,23 Sep 09,"Unstable","https://www.tvmaze.com/episodes/7203/law-order-special-victims-unit-11x01-unstable"
226,11,2,30 Sep 09,"Sugar","https://www.tvmaze.com/episodes/7204/law-order-special-victims-unit-11x02-sugar"
227,11,3,07 Oct 09,"Solitary","https://www.tvmaze.com/episodes/7205/law-order-special-victims-unit-11x03-solitary"
228,11,4,14 Oct 09,"Hammered","https://www.tvmaze.com/episodes/7206/law-order-special-victims-unit-11x04-hammered"
229,11,5,21 Oct 09,"Hardwired","https://www.tvmaze.com/episodes/7207/law-order-special-victims-unit-11x05-hardwired"
230,11,6,28 Oct 09,"Spooked","https://www.tvmaze.com/episodes/7208/law-order-special-victims-unit-11x06-spooked"
231,11,7,04 Nov 09,"Users","https://www.tvmaze.com/episodes/7209/law-order-special-victims-unit-11x07-users"
232,11,8,11 Nov 09,"Turmoil","https://www.tvmaze.com/episodes/7210/law-order-special-victims-unit-11x08-turmoil"
233,11,9,18 Nov 09,"Perverted","https://www.tvmaze.com/episodes/7211/law-order-special-victims-unit-11x09-perverted"
