,miles_per_gallon,engine,volume,hp,pounds,torque,source,make,price,year,price_to_weight_ratio,horsepower_category,car_age
111,18.0,3.0,70.0,90.0,2124.0,13.5,3.0,maxda rx3,2007.0,73.0,0.9449152542372882,Low,73
112,19.0,4.0,122.0,85.0,2310.0,18.5,1.0,ford pinto,1942.0,73.0,0.8406926406926407,Low,73
113,21.0,6.0,155.0,107.0,2472.0,14.0,1.0,mercury capri v6,1421.0,73.0,0.5748381877022654,Low,73
114,26.0,4.0,98.0,90.0,2265.0,15.5,2.0,fiat 124 sport coupe,2216.0,73.0,0.9783664459161148,Low,73
115,15.0,8.0,350.0,145.0,4082.0,13.0,1.0,chevrolet monte carlo s,2246.0,73.0,0.5502204801567859,Medium,73
116,16.0,8.0,400.0,230.0,4278.0,9.5,1.0,pontiac grand prix,1135.0,73.0,0.2653108929406265,High,73
117,29.0,4.0,68.0,49.0,1867.0,19.5,2.0,fiat 128,2207.0,73.0,1.1821103374397428,Low,73
118,24.0,4.0,116.0,75.0,2158.0,15.5,2.0,opel manta,2491.0,73.0,1.154309545875811,Low,73
119,20.0,4.0,114.0,91.0,2582.0,14.0,2.0,audi 100ls,1529.0,73.0,0.5921766072811774,Low,73
120,19.0,4.0,121.0,112.0,2868.0,15.5,2.0,volvo 144ea,1143.0,73.0,0.3985355648535565,Medium,73
121,15.0,8.0,318.0,150.0,3399.0,11.0,1.0,dodge dart custom,2417.0,73.0,0.7110914974992645,Medium,73
122,24.0,4.0,121.0,110.0,2660.0,14.0,2.0,saab 99le,1858.0,73.0,0.6984962406015037,Medium,73
123,20.0,6.0,156.0,122.0,2807.0,13.5,3.0,toyota mark ii,1826.0,73.0,0.6505165657285358,Medium,73
124,11.0,8.0,350.0,180.0,3664.0,11.0,1.0,oldsmobile omega,2352.0,73.0,0.6419213973799127,High,73
125,20.0,6.0,198.0,95.0,3102.0,16.5,1.0,plymouth duster,1108.0,74.0,0.35718891038039974,Low,74
126,21.0,6.0,200.0,115.88383838383838,2875.0,17.0,1.0,ford maverick,2179.0,74.0,0.7579130434782608,Medium,74
127,19.0,6.0,232.0,100.0,2901.0,16.0,1.0,amc hornet,2030.0,74.0,0.6997587038952086,Low,74
128,15.0,6.0,250.0,100.0,3336.0,17.0,1.0,chevrolet nova,2300.0,74.0,0.6894484412470024,Low,74
129,31.0,4.0,79.0,67.0,1950.0,19.0,3.0,datsun b210,2186.0,74.0,1.121025641025641,Low,74
130,26.0,4.0,122.0,80.0,2451.0,16.5,1.0,ford pinto,2190.0,74.0,0.8935128518971848,Low,74
131,32.0,4.0,71.0,65.0,1836.0,21.0,3.0,toyota corolla 1200,2236.0,74.0,1.2178649237472767,Low,74
132,25.0,4.0,140.0,75.0,2542.0,17.0,1.0,chevrolet vega,2043.0,74.0,0.8036978756884343,Low,74
133,16.0,6.0,250.0,100.0,3781.0,17.0,1.0,chevrolet chevelle malibu classic,1771.0,74.0,0.46839460460195714,Low,74
134,16.0,6.0,258.0,110.0,3632.0,18.0,1.0,amc matador,1690.0,74.0,0.46530837004405284,Medium,74
135,18.0,6.0,225.0,105.0,3613.0,16.5,1.0,plymouth satellite sebring,1494.0,74.0,0.41350678106836425,Low,74
136,16.0,8.0,302.0,140.0,4141.0,14.0,1.0,ford gran torino,1990.0,74.0,0.4805602511470659,Medium,74
137,13.0,8.0,350.0,150.0,4699.0,14.5,1.0,buick century luxus (sw),1306.0,74.0,0.27793147478186847,Medium,74
138,14.0,8.0,318.0,150.0,4457.0,13.5,1.0,dodge coronet custom (sw),2300.0,74.0,0.5160421808391294,Medium,74
139,14.0,8.0,302.0,140.0,4638.0,16.0,1.0,ford gran torino (sw),1923.0,74.0,0.41461836998706336,Medium,74
140,14.0,8.0,304.0,150.0,4257.0,15.5,1.0,amc matador (sw),1395.0,74.0,0.3276955602536998,Medium,74
141,29.0,4.0,98.0,83.0,2219.0,16.5,2.0,audi fox,2175.0,74.0,0.9801712483100495,Low,74
142,26.0,4.0,79.0,67.0,1963.0,15.5,2.0,volkswagen dasher,1461.0,74.0,0.7442689760570556,Low,74
143,26.0,4.0,97.0,78.0,2300.0,14.5,2.0,opel manta,1397.0,74.0,0.6073913043478261,Low,74
144,31.0,4.0,76.0,52.0,1649.0,16.5,3.0,toyota corona,1214.0,74.0,0.7362037598544573,Low,74
145,32.0,4.0,83.0,61.0,2003.0,19.0,3.0,datsun 710,2092.0,74.0,1.0444333499750373,Low,74
146,28.0,4.0,90.0,75.0,2125.0,14.5,1.0,dodge colt,1910.0,74.0,0.8988235294117647,Low,74
147,24.0,4.0,90.0,75.0,2108.0,15.5,2.0,fiat 128,1119.0,74.0,0.5308349146110057,Low,74
148,26.0,4.0,116.0,75.0,2246.0,14.0,2.0,fiat 124 tc,2061.0,74.0,0.9176313446126447,Low,74
149,24.0,4.0,120.0,97.0,2489.0,15.0,3.0,honda civic,1991.0,74.0,0.7999196464443552,Low,74
150,26.0,4.0,108.0,93.0,2391.0,15.5,3.0,subaru,2483.0,74.0,1.0384776244249267,Low,74
151,31.0,4.0,79.0,67.0,2000.0,16.0,2.0,fiat x1.9,1407.0,74.0,0.7035,Low,74
152,19.0,6.0,225.0,95.0,3264.0,16.0,1.0,plymouth valiant custom,1226.0,75.0,0.3756127450980392,Low,75
153,18.0,6.0,250.0,105.0,3459.0,16.0,1.0,chevrolet nova,2417.0,75.0,0.6987568661462851,Low,75
154,15.0,6.0,250.0,72.0,3432.0,21.0,1.0,mercury monarch,1263.0,75.0,0.368006993006993,Low,75
155,15.0,6.0,250.0,72.0,3158.0,19.5,1.0,ford maverick,2117.0,75.0,0.6703609879670678,Low,75
156,16.0,8.0,400.0,170.0,4668.0,11.5,1.0,pontiac catalina,1978.0,75.0,0.42373607540702657,High,75
157,15.0,8.0,350.0,145.0,4440.0,14.0,1.0,chevrolet bel air,1240.0,75.0,0.27927927927927926,Medium,75
158,16.0,8.0,318.0,150.0,4498.0,14.5,1.0,plymouth grand fury,1771.0,75.0,0.3937305469097377,Medium,75
159,14.0,8.0,351.0,148.0,4657.0,13.5,1.0,ford ltd,2278.0,75.0,0.4891561090831007,Medium,75
160,17.0,6.0,231.0,110.0,3907.0,21.0,1.0,buick century,1166.0,75.0,0.2984386997696442,Medium,75
161,16.0,6.0,250.0,105.0,3897.0,18.5,1.0,chevroelt chevelle malibu,2460.0,75.0,0.6312548113933796,Low,75
162,15.0,6.0,258.0,110.0,3730.0,19.0,1.0,amc matador,1616.0,75.0,0.43324396782841823,Medium,75
163,18.0,6.0,225.0,95.0,3785.0,19.0,1.0,plymouth fury,2189.0,75.0,0.5783355350066051,Low,75
164,21.0,6.0,231.0,110.0,3039.0,15.0,1.0,buick skyhawk,1568.0,75.0,0.5159591971043106,Medium,75
165,20.0,8.0,262.0,110.0,3221.0,13.5,1.0,chevrolet monza 2+2,1516.0,75.0,0.4706612853151195,Medium,75
166,13.0,8.0,302.0,129.0,3169.0,12.0,1.0,ford mustang ii,2483.0,75.0,0.7835279267907858,Medium,75
167,29.0,4.0,97.0,75.0,2171.0,16.0,3.0,toyota corolla,1643.0,75.0,0.7567941040994933,Low,75
168,23.0,4.0,140.0,83.0,2639.0,17.0,1.0,ford pinto,1359.0,75.0,0.5149677908298598,Low,75
169,20.0,6.0,232.0,100.0,2914.0,16.0,1.0,amc gremlin,1473.0,75.0,0.5054907343857241,Low,75
170,23.0,4.0,140.0,78.0,2592.0,18.5,1.0,pontiac astro,1940.0,75.0,0.7484567901234568,Low,75
171,24.0,4.0,134.0,96.0,2702.0,13.5,3.0,toyota corona,1681.0,75.0,0.6221317542561066,Low,75
172,25.0,4.0,90.0,71.0,2223.0,16.5,2.0,volkswagen dasher,1503.0,75.0,0.6761133603238867,Low,75
173,24.0,4.0,119.0,97.0,2545.0,17.0,3.0,datsun 710,2355.0,75.0,0.925343811394892,Low,75
174,18.0,6.0,171.0,97.0,2984.0,14.5,1.0,ford pinto,1643.0,75.0,0.550603217158177,Low,75
175,29.0,4.0,90.0,70.0,1937.0,14.0,2.0,volkswagen rabbit,1850.0,75.0,0.9550851832731028,Low,75
176,19.0,6.0,232.0,90.0,3211.0,17.0,1.0,amc pacer,2037.0,75.0,0.6343818125194643,Low,75
177,23.0,4.0,115.0,95.0,2694.0,15.0,2.0,audi 100ls,1894.0,75.0,0.7030438010393467,Low,75
178,23.0,4.0,120.0,88.0,2957.0,17.0,2.0,peugeot 504,2248.0,75.0,0.7602299628001352,Low,75
179,22.0,4.0,121.0,98.0,2945.0,14.5,2.0,volvo 244dl,2428.0,75.0,0.8244482173174873,Low,75
180,25.0,4.0,121.0,115.0,2671.0,13.5,2.0,saab 99le,2032.0,75.0,0.7607637588918008,Medium,75
181,33.0,4.0,91.0,53.0,1795.0,17.5,3.0,honda civic cvcc,1369.0,75.0,0.7626740947075209,Low,75
182,28.0,4.0,107.0,86.0,2464.0,15.5,2.0,fiat 131,1109.0,76.0,0.45008116883116883,Low,76
183,25.0,4.0,116.0,81.0,2220.0,16.9,2.0,opel 1900,1520.0,76.0,0.6846846846846847,Low,76
184,25.0,4.0,140.0,92.0,2572.0,14.9,1.0,capri ii,2146.0,76.0,0.8343701399688958,Low,76
185,26.0,4.0,98.0,79.0,2255.0,17.7,1.0,dodge colt,2160.0,76.0,0.9578713968957872,Low,76
186,27.0,4.0,101.0,83.0,2202.0,15.3,2.0,renault 12tl,2270.0,76.0,1.030881017257039,Low,76
187,17.5,8.0,305.0,140.0,4215.0,13.0,1.0,chevrolet chevelle malibu classic,2171.0,76.0,0.5150652431791222,Medium,76
188,16.0,8.0,318.0,150.0,4190.0,13.0,1.0,dodge coronet brougham,2173.0,76.0,0.5186157517899761,Medium,76
189,15.5,8.0,304.0,120.0,3962.0,13.9,1.0,amc matador,2024.0,76.0,0.5108531044926805,Medium,76
190,14.5,8.0,351.0,152.0,4215.0,12.8,1.0,ford gran torino,1265.0,76.0,0.3001186239620403,Medium,76
191,22.0,6.0,225.0,100.0,3233.0,15.4,1.0,plymouth valiant,2414.0,76.0,0.7466749149396845,Low,76
192,22.0,6.0,250.0,105.0,3353.0,14.5,1.0,chevrolet nova,1960.0,76.0,0.5845511482254697,Low,76
193,24.0,6.0,200.0,81.0,3012.0,17.6,1.0,ford maverick,2318.0,76.0,0.7695883134130146,Low,76
194,22.5,6.0,232.0,90.0,3085.0,17.6,1.0,amc hornet,1595.0,76.0,0.5170178282009724,Low,76
195,29.0,4.0,85.0,52.0,2035.0,22.2,1.0,chevrolet chevette,1972.0,76.0,0.9690417690417691,Low,76
196,24.5,4.0,98.0,60.0,2164.0,22.1,1.0,chevrolet woody,2059.0,76.0,0.9514787430683919,Low,76
197,29.0,4.0,90.0,70.0,1937.0,14.2,2.0,vw rabbit,1928.0,76.0,0.9953536396489416,Low,76
198,28.0,4.0,120.0,79.0,2625.0,18.6,1.0,ford ranger,2408.0,82.0,0.9173333333333333,Low,82
199,31.0,4.0,119.0,82.0,2720.0,19.4,1.0,chevy s-10,1512.0,82.0,0.5558823529411765,Low,82
